"","id","uid","label","os","emoji_id","unicode","emoji"
"201",201,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","neutral","MacIntel",36,"2728","✨"
"202",202,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","happy","MacIntel",60,"1f606","😆"
"203",203,"d58NVXSxGGBkD7NPJ2BfMcCUVBuVRBAf","na","Win32",79,"1f355","🍕"
"204",204,"tlDmEXWPO4Tz0dmBYmi2SvKCSq1ZlECw","neutral","Win32",168,"1f446","👆"
"205",205,"d58NVXSxGGBkD7NPJ2BfMcCUVBuVRBAf","na","Win32",156,"2501","━"
"206",206,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","neutral","MacIntel",89,"1f51d","🔝"
"207",207,"d58NVXSxGGBkD7NPJ2BfMcCUVBuVRBAf","na","Win32",149,"1f37b","🍻"
"208",208,"tlDmEXWPO4Tz0dmBYmi2SvKCSq1ZlECw","happy","Win32",200,"1f635","😵"
"209",209,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","neutral","MacIntel",142,"1f334","🌴"
"210",210,"d58NVXSxGGBkD7NPJ2BfMcCUVBuVRBAf","na","Win32",88,"2708","✈"
"211",211,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","neutral","MacIntel",201,"1f4d2","📒"
"212",212,"tlDmEXWPO4Tz0dmBYmi2SvKCSq1ZlECw","neutral","Win32",194,"1f1ea","🇪"
"213",213,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","neutral","MacIntel",199,"1f33b","🌻"
"214",214,"d58NVXSxGGBkD7NPJ2BfMcCUVBuVRBAf","happy","Win32",124,"1f46f","👯"
"215",215,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","neutral","MacIntel",197,"1f47e","👾"
"216",216,"tlDmEXWPO4Tz0dmBYmi2SvKCSq1ZlECw","angry","Win32",107,"270a","✊"
"217",217,"d58NVXSxGGBkD7NPJ2BfMcCUVBuVRBAf","angry","Win32",107,"270a","✊"
"218",218,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","happy","MacIntel",117,"1f64b","🙋"
"219",219,"tlDmEXWPO4Tz0dmBYmi2SvKCSq1ZlECw","sad","Win32",44,"1f622","😢"
"220",220,"tlDmEXWPO4Tz0dmBYmi2SvKCSq1ZlECw","sad","Win32",5,"1f62d","😭"
"221",221,"d58NVXSxGGBkD7NPJ2BfMcCUVBuVRBAf","na","Win32",199,"1f33b","🌻"
"222",222,"d58NVXSxGGBkD7NPJ2BfMcCUVBuVRBAf","na","Win32",163,"1f31a","🌚"
"223",223,"tlDmEXWPO4Tz0dmBYmi2SvKCSq1ZlECw","happy","Win32",93,"1f451","👑"
"224",224,"tlDmEXWPO4Tz0dmBYmi2SvKCSq1ZlECw","happy","Win32",4,"1f60d","😍"
"225",225,"d58NVXSxGGBkD7NPJ2BfMcCUVBuVRBAf","neutral","Win32",51,"1f60c","😌"
"226",226,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","happy","MacIntel",86,"1f608","😈"
"227",227,"d58NVXSxGGBkD7NPJ2BfMcCUVBuVRBAf","neutral","Win32",95,"1f449","👉"
"228",228,"tlDmEXWPO4Tz0dmBYmi2SvKCSq1ZlECw","happy","Win32",174,"2611","☑"
"229",229,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","sad","MacIntel",59,"1f61e","😞"
"230",230,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","neutral","MacIntel",88,"2708","✈"
"231",231,"tlDmEXWPO4Tz0dmBYmi2SvKCSq1ZlECw","happy","Win32",99,"1f427","🐧"
"232",232,"d58NVXSxGGBkD7NPJ2BfMcCUVBuVRBAf","surprised","Win32",47,"1f64a","🙊"
"233",233,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","sad","MacIntel",94,"1f639","😹"
"234",234,"d58NVXSxGGBkD7NPJ2BfMcCUVBuVRBAf","afraid","Win32",150,"1f645","🙅"
"235",235,"tlDmEXWPO4Tz0dmBYmi2SvKCSq1ZlECw","happy","Win32",74,"1f413","🐓"
"236",236,"d58NVXSxGGBkD7NPJ2BfMcCUVBuVRBAf","na","Win32",138,"266a","♪"
"237",237,"tlDmEXWPO4Tz0dmBYmi2SvKCSq1ZlECw","sad","Win32",15,"1f629","😩"
"238",238,"tlDmEXWPO4Tz0dmBYmi2SvKCSq1ZlECw","happy","Win32",131,"1f46b","👫"
